filename,source,category,type,comments,url,isTarget,imageID
economist_daily_chart_182.png,Economist Daily,N,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_182.png,0,I1
v488_n7413_23_f4.png,Nature,S,Points,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v488_n7413_23_f4.png,0,I2
whoK29_2.png,World Health Organization,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoK29_2.png,0,I3
economist_daily_chart_389.png,Economist Daily,N,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_389.png,0,I4
wsj547.png,Wall Street Journal,N,Lines,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj547.png,0,I5
whoB27_1.png,World Health Organization,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoB27_1.png,0,I6
economist_daily_chart_417.png,Economist Daily,N,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_417.png,0,I7
wsj551.png,Wall Street Journal,N,Diagrams,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj551.png,0,I8
economist_daily_chart_252.png,Economist Daily,N,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_252.png,0,I9
whoQ42_2.png,World Health Organization,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoQ42_2.png,0,I10
treasuryG04_1.png,US Department of the Treasury,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryG04_1.png,0,I11
wsj603.png,Wall Street Journal,N,Lines,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj603.png,0,I12
wsj26.png,Wall Street Journal,N,Table,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj26.png,0,I13
economist_daily_chart_120.png,Economist Daily,N,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_120.png,0,I14
visMost114.png,Visual.ly,I,Diagrams,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost114.png,0,I15
economist_daily_chart_325.png,Economist Daily,N,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_325.png,0,I16
wsj121.png,Wall Street Journal,N,Lines,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj121.png,0,I17
wsj235.png,Wall Street Journal,N,Maps,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj235.png,0,I18
vis602.png,Visual.ly,I,Grid / Matrix,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis602.png,0,I19
whoQ55_1.png,World Health Organization,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoQ55_1.png,0,I20
treasuryG02_1.png,US Department of the Treasury,G,Lines,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryG02_1.png,0,I21
treasuryK03_7.png,US Department of the Treasury,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryK03_7.png,0,I22
wsj92.png,Wall Street Journal,N,Diagrams,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj92.png,0,I23
wsj556.png,Wall Street Journal,N,Circles,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj556.png,0,I24
v486_n7403_16_f1.png,Nature,S,Diagrams,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v486_n7403_16_f1.png,0,I25
treasuryA12.png,US Department of the Treasury,G,Lines,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryA12.png,0,I26
vis398.png,Visual.ly,I,Trees and Networks,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis398.png,0,I27
whoQ28_2.png,World Health Organization,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoQ28_2.png,0,I28
v489_n7415_13_f1.png,Nature,S,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v489_n7415_13_f1.png,0,I29
visMost113.png,Visual.ly,I,Table,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost113.png,0,I30
whoP20.png,World Health Organization,G,Table,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoP20.png,0,I31
visMost638.png,Visual.ly,I,Table,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost638.png,0,I32
economist_daily_chart_244.png,Economist Daily,N,Table,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_244.png,0,I33
economist_daily_chart_478.png,Economist Daily,N,Area,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_478.png,0,I34
whoQ56_6.png,World Health Organization,G,Lines,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoQ56_6.png,0,I35
vis131.png,Visual.ly,I,Diagrams,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis131.png,0,I36
economist_daily_chart_125.png,Economist Daily,N,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_125.png,0,I37
v490_n7420_4_f5.png,Nature,S,Diagrams,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v490_n7420_4_f5.png,0,I38
vis589.png,Visual.ly,I,Diagrams,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis589.png,0,I39
vis575.png,Visual.ly,I,Diagrams,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis575.png,0,I40
whoI13.png,World Health Organization,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoI13.png,0,I41
visMost609.png,Visual.ly,I,Trees and Networks,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost609.png,0,I42
economist_daily_chart_384.png,Economist Daily,N,Circles,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_384.png,0,I43
treasuryD11.png,US Department of the Treasury,G,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryD11.png,0,I44
wsj375.png,Wall Street Journal,N,Bars,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj375.png,0,I45
treasuryG01_1.png,US Department of the Treasury,G,Table,,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryG01_1.png,0,I46
